Stomatepia pindu	YP_009590629
Scopura longa	YP_009561682
Zophobas atratus	YP_009561397
Muntiacus feae	YP_009561385
Engraulis mordax	YP_009561244
Geochelone elegans	YP_009561231
Turdus kessleri	YP_009561218
Chloris sinica	YP_009561205
Ixodes tasmani	YP_009560718
Gigantometra gigas	YP_009560651
Dolichoderus sibiricus	YP_009560358
Elaphe dione	YP_009560197
Corvus cornix cornix	YP_009054812
Gyrodactylus gurleyi	YP_009572233
Aratinga solstitialis	YP_009113693
Guaruba guarouba	YP_009113441
Greenidea psidii	YP_009566705
Haliaeetus albicilla	YP_009554210
Puma concolor	YP_004940590
Mergus merganser	YP_009559284
Holbrookia lacerata	YP_009560184
Yuhina nigrimenta	YP_009559445
Calidris ruficollis	YP_009559432
Nanosesarma minutum	YP_009558814
Metaplax longipes	YP_009558801
Carpodacus rubicilloides	YP_009558790
Xizicus maculatus	YP_009558776
Cephalodiscus hodgsoni	YP_009558665
Gallus gallus	YP_009558654
Partulina redfieldi	YP_009558639
Benthodytes marianensis	YP_009558626
Acanthopagrus schlegelii x Pagrus major	YP_009557830
Rhagologus leucostigma	YP_009557817
Buccinum undatum	YP_009556632
Mobula tarapacana	YP_009555386
Rattus nitidus	YP_009555276
Parus major	YP_009555221
Chaetodon octofasciatus	YP_009554434
Cheilodipterus quinquelineatus	YP_009554327
Lophophorus impejanus	YP_009553835
Chrysiptera biocellata	YP_009551312
Microphysogobio sp. XZ-2015	YP_009551299
Homatula berezowskii	YP_009551286
Ceratophyllus wui	YP_009551272
Heterorhabditis indica	YP_009550280
Nycticebus coucang insularis	YP_009550264
Oenanthe isabellina	YP_009550141
Gallus gallus spadiceus	YP_009555263
Peromyscus maniculatus bairdii	YP_009538418
Gorilla gorilla	COX1_10552
Epinephelus moara x Epinephelus tukula	YP_009549895
Homo sapiens neanderthalensis	YP_002124304
Apis laboriosa	YP_009440910
Onchocerca ochengi	YP_009319964
Mesoplodon densirostris	YP_008379322
Mesoplodon europaeus	YP_008081945
Limnonectes fujianensis	YP_337813
Penion maximus	YP_009471377
Clithon retropictum	YP_009320066
Halcampoides purpureus	YP_009159660
Clavelina oblonga	YP_009029840
Echinophyllia aspera	YP_009547100
Halichondria panicea	YP_009547078
Nodularia douglasiae	YP_009546807
Hydrodamalis gigas	YP_009546799
Eolophus roseicapillus	YP_009546229
Ophiosteira antarctica	YP_009545884
Ophioplinthus brevirima	YP_009545870
Ophionotus victoriae	YP_009545857
Ophioceres incipiens	YP_009545844
Gorgonocephalus chilensis	YP_009545836
Astrotoma agassizii	YP_009545815
Ophioplinthus gelida	YP_009545805
Cacatua pastinator	YP_009545629
Neodon fuscus	YP_009545504
Montipora efflorescens	YP_009545501
Alveopora japonica	YP_009545488
Portunus gracilimanus	YP_009544448
Tremex columba	YP_009544436
Simulium maculatum	YP_009544252
Roisinitermes ebogoensis	YP_009544239
Chiroteuthis picteti	YP_009544228
Chiroteuthis picteti	YP_009544222
Parabreviscolex niepini	YP_009544216
Cosmoscarta dorsimacula	YP_009544116
Cosmoscarta bispecularis	YP_009544103
Glossobalanus marginatus	YP_009543762
Erythrogenys gravivox	YP_009543463
Indicator xanthonotus	YP_009543450
Ardea insignis	YP_009543437
Gobiopterus lacustris	YP_009543424
Parasesarma affine	YP_009542395
Aphis fabae mordvilkoi	YP_009542288
Ochotona koslowi	YP_009542277
Freyastera benthophila	YP_009542019
Xiphidiopsis gurneyi	YP_009542005
Mongoloniscus sinensis	YP_009540828
Arcyptera meridionalis	YP_009540699
Cerithidea obtusa	YP_009539825
Rhyticeros undulatus	YP_009539814
Orancistrocerus aterrimus	YP_009539800
Suhpalacsa longialata	YP_009539787
Tridacna derasa	YP_009539747
Hippopus hippopus	YP_009539734
Neohydatothrips samayunkur	YP_009539636
Actinia equina	YP_009538770
Steinernema abbasi	YP_009538629
Cervus elaphus kansuensis	YP_009538444
Conus betulinus	YP_009538429
Heterodermia speciosa	YP_009546686
Parmotrema ultralucens	YP_009543474
Neogoniolithon spectabile	YP_009541987
Synarthrophyton chejuense	YP_009541979
Hycleus cichorii	YP_009526479
Glyptothorax laosensis	YP_009528570
Oostethus manadensis	YP_009528558
Inflata indica	YP_009528545
Dichotomius schiffleri	YP_009527971
Ornithodoros sonrai	YP_009527959
Budorcas taxicolor tibetana	YP_009527936
Neotoma magister	YP_009526844
Eudorcas thomsonii	YP_009526832
Triaenodes tardus	YP_009526503
Tachaea chinensis	YP_009526491
Pteromalus puparum	YP_009526472
Glyptothorax longinema	YP_009538274
Glyptothorax lanceatus	YP_009538261
Glyptothorax granosus	YP_009538248
Dunckerocampus dactyliophorus	YP_009538235
Prodotiscus insignis	YP_009538222
Megalaima virens	YP_009538209
Jynx ruficollis	YP_009538196
Indicator maculatus	YP_009538183
Anser albifrons frontalis	YP_009538171
Ornithodoros coriaceus	YP_009537767
Semibalanus balanoides	YP_009537169
Callistoctopus luteus	YP_009537157
Octopus cyanea	YP_009537144
Perdix perdix	YP_009536859
Falco amurensis	YP_009536846
Solenaia rivularis	YP_009536805
Ornithodoros hermsi	YP_009536360
Ornithodoros parkeri	YP_009536347
Ornithodoros turicata	YP_009536321
Rhipicentor nuttalli	YP_009536308
Carinotetraodon travancoricus	YP_009536158
Tanakia latimarginata	YP_009536061
Thryssa vitrirostris	YP_009536048
Lanius tigrinus	YP_009536037
Atlantisia rogersi	YP_009535764
Sperchon plumifer	YP_009535749
Cyathocotyle prussica	YP_009533205
Sebastes aleutianus	YP_009533186
Sebastes nigrocinctus	YP_009533173
Sebastes rubrivinctus	YP_009533160
Geospiza magnirostris	YP_009532899
Sinocyclocheilus wumengshanensis	YP_009532886
Amyrsidea minuta	YP_009532785
Haemaphysalis hystricis	YP_009532693
Mantella baroni	YP_009532266
Idiocerus laurifoliae	YP_009531279
Asio otus	YP_009530266
Oligoryzomys stramineus	YP_009529240
Macropus fuliginosus	YP_009529058
Ichthyoxenos japonensis	YP_009529005
Aulacophora lewisii	YP_009528992
Monolepta quadriguttata	YP_009528979
Ophraella communa	YP_009528966
Apis andreniformis	YP_009528953
Bothrops diporus	YP_009526089
Bothrops pubescens	YP_009526076
Pseudocrangonyx daejeonensis	YP_009525973
Cylicocyclus radiatus	YP_009525792
Idioscopus clypealis	YP_009525780
Belzebub intermedius	YP_009525766
Thalamita sima	YP_009525753
Orithyia sinica	YP_009525740
Talpa occidentalis	YP_009525264
Mustelus mustelus	YP_009525251
Echinoecus nipponicus	YP_009524392
Lepidotrema longipenis	YP_009524380
Epeorus herklotsi	YP_009524076
Sinocyclocheilus tingi	YP_009522711
Caridina indistincta A	YP_009522696
Paradoxurus hermaphroditus	YP_009522596
Micronecta sahlbergii	YP_009522471
Anoplolepis gracilipes	YP_009521621
Perumytilus purpuratus	YP_009521268
Glyptothorax macromaculatus	YP_009520512
Macrosteles quadrimaculatus	YP_009520498
Nilssonia nigricans	YP_009520486
Bourletiella arvalis	YP_009520472
Sardinella lemuru	YP_009520119
Bathymodiolus securiformis	YP_009520116
Proechimys trinitatis	YP_009520093
Proechimys steerei	YP_009520080
Proechimys poliopus	YP_009520067
Proechimys pattoni	YP_009520054
Proechimys mincae	YP_009520041
Proechimys kulinae	YP_009520028
Proechimys goeldii	YP_009520015
Proechimys gardneri	YP_009520002
Chionodraco rastrospinosus	YP_009519989
Diploderma flaviceps	YP_009519885
Niltava davidi	YP_009519846
Picumnus innominatus	YP_009519833
Psittiparus gularis	YP_009519820
Trichogramma ostriniae	YP_009519805
Trichogramma japonicum	YP_009519792
Paruterina candelabraria	YP_009519780
Echinostoma miyagawai	YP_009519776
Colpocephalum griffoneae	YP_009519723
Falcolipeurus quadripustulatus	YP_009519704
Oxymeris dimidiata	YP_003204695
Cladonia subtenuis	YP_009529219
Margarya oxytropoides	YP_009413683
Nassarius variciferus	YP_009227955
Tritia reticulata	YP_003204812
Bivetiella cancellata	YP_003204721
Monoplex parthenopeus	YP_003204799
Obscurella hidalgoi	YP_009169460
Cassiopea xamachana	YP_004940462
Ceraesignum maximum	YP_003934362
Pseudocalotes microlepis	YP_009517775
Digramma interrupta	YP_009517332
Ligula intestinalis	YP_009517320
Proechimys simonsi	YP_009517301
Pristis pristis	YP_009517131
Thrips palmi	YP_009517120
Ovis dalli	YP_009516759
Ovis nivicola lydekkeri	YP_009516746
Paragonimus heterotremus	YP_009516740
Populicerus populi	YP_009516548
Hyporhamphus quoyi	YP_009516310
Choristoneura pinus pinus	YP_009516296
Choristoneura conflictana	YP_009516283
Proechimys roberti	YP_009516271
Proechimys hoplomyoides	YP_009516258
Kaloula verrucosa	YP_009515650
Proechimys echinothrix	YP_009515624
Dnopherula yuanmowensis	YP_009515610
Hyalella azteca	YP_009515505
Parhyale hawaiensis	YP_009515491
Trinorchestia longiramus	YP_009515479
Cheilopogon spilonotopterus	YP_009515466
Linguatula serrata	YP_009515452
Pericapritermes nitobei	YP_009515439
Ixos mcclellandii	YP_009515414
Proechimys quadruplicatus	YP_009514030
Proechimys guairae	YP_009514017
Yunnanilus jinxiensis	YP_009514631
Hirundichthys rondeletii	YP_009513874
Cheilopogon pinnatibarbatus	YP_009513861
Pseudoniphargus stocki	YP_009513828
Pseudoniphargus carpalis	YP_009513816
Matuta planipes	YP_009513714
Lampsilis siliquoidea	YP_009485299
Gonioctena intermedia	YP_009334260
Potomida littoralis	YP_009252164
Microcebus murinus	YP_009192251
Proechimys semispinosus calidior	YP_009509503
Buccinulum pertinax finlayi	YP_009509790
Capreolus pygargus tianschanicus	YP_009509386
Rucervus duvaucelii branderi	YP_009509169
Sus scrofa cristatus	YP_009509156
Ambystoma talpoideum	YP_009512911
Zele chlorophthalmus	YP_009512907
Metapenaeus affinis	YP_009512801
Microhyla taraiensis	YP_009512688
Vargula tsujii	YP_009512676
Meles leucurus	YP_009512623
Thais luteostoma	YP_009512520
Chicoreus torrefactus	YP_009512504
Chaenodraco wilsoni	YP_009512152
Phymatostetha huangshanensis (nomen nudum)	YP_009512138
Gymnothorax niphostigmus	YP_009510329
Neocyema erythrosoma	YP_009510322
Aldrovandia oleosa	YP_009510303
Polyacanthonotus rissoanus	YP_009510290
Vespa affinis	YP_009510276
Oreonectes daqikongensis	YP_009510160
Penion ormesi	YP_009509816
Cominella adspersa	YP_009509803
Kelletia lischkei	YP_009509777
Aeneator recens	YP_009509764
Buccinulum fuscozonatum	YP_009509751
Aeneator elegans	YP_009509738
Antarctoneptunea benthicola	YP_009509725
Penion cuvierianus	YP_009509712
Antarctoneptunea aurora	YP_009509699
Penion chathamensis	YP_009509686
Myloplus rubripinnis	YP_009509672
Myleus cf. schomburgkii XL-2018	YP_009509659
Metynnis hypsauchen	YP_009509646
Cranuca inversa	YP_009509618
Epixanthus frontalis	YP_009509605
Pachygrapsus marmoratus	YP_009509592
Pilumnus vespertilio	YP_009509579
Tubuca capricornis	YP_009509566
Tubuca polita	YP_009509553
Cardisoma carnifex	YP_009509540
Rhizomys sumatrensis	YP_009509529
Proechimys semispinosus	YP_009509516
Proechimys gularis	YP_009509490
Proechimys brevicauda	YP_009509477
Proechimys cuvieri	YP_009509464
Proechimys guyannensis	YP_009509451
Bellamya purificata	YP_009509436
Tringa glareola	YP_009509425
Gyps himalayensis	YP_009509412
Nanorana ventripunctata	YP_009509399
Echinococcus granulosus sensu lato genotype G7	YP_009505056
Echinococcus granulosus sensu lato genotype G6	YP_009505044
Periophthalmus novemradiatus	YP_009505024
Bubo bubo	YP_009504819
Gyrodactylus nyanzae	YP_009504430
Octopus variabilis	YP_009504412
Hemigrapsus penicillatus	YP_009504016
Buceros bicornis	YP_009504005
Lasioderma serricorne	YP_009503729
Cicindela anchoralis	YP_009503511
Soliperla sp. ZTC-2018	YP_009503485
Typhlosyrinx sp. MNHN IM 2013-18371	YP_009503330
Leucosyrinx sp. MNHN IM 2013-19304	YP_009503317
Splendrillia sp. 1 MNHN IM 2013-9619	YP_009503304
Gemmuloborsonia moosai	YP_009503291
Dotilla wichmanni	YP_009503176
Gaetice depressus	YP_009503163
Gelasimus borealis	YP_009503137
Gymnothorax minor	YP_009503113
Anomalurus pusillus	YP_009503100
Anomalurus derbianus	YP_009503087
Anomalurus pelii	YP_009503074
Pseudomegarcys japonica	YP_009502945
Isoperla eximia	YP_009502932
Spongiocaris panglao	YP_009502918
Parahyaena brunnea	YP_009502680
Bubo scandiacus	YP_009504832
Strix uralensis	YP_009504806
Histiostoma feroniarum	YP_009504242
Thryssa setirostris	YP_009503717
Milvus migrans	YP_009503702
Pectinatella magnifica	YP_009503525
Isoperla bilineata	YP_009503498
Bathytoma punicea	YP_009503278
Metopograpsus quadridentatus	YP_009503150
Microtus arvalis	YP_009503126
Anomalurus beecrofti	YP_009503061
Nassarius hepaticus	YP_009502957
Zenkerella insignis	YP_009502807
Idiurus macrotis	YP_009502794
Cladonia peziziformis	YP_009510171
Neoceratias spinifer	YP_003457007
Huananpotamon lichuanense	YP_009307989
Caulerpa lentillifera	YP_009504745
Apis nigrocincta	YP_009500767
Anthracoceros coronatus	YP_009502399
Misgurnus mizolepis	YP_009502386
Russelliana solanicola	YP_009501971
Psylla alni	YP_009501958
Pariaconus pele	YP_009501945
Livia junci	YP_009501932
Leptynoptera sulfurea	YP_009501919
Freysuila caesalpiniae	YP_009501906
Microhyla mixtura	YP_009501770
Anastrangalia sequensi	YP_009499541
Cyathostomum pateratum	YP_009498562
Parasesarma pictum	YP_009498513
Beroe forskalii	YP_009498497
Tragelaphus buxtoni	YP_009498486
Dosinia japonica	YP_009498471
Biomphalaria choanomphala	YP_009498383
Biomphalaria sudanica	YP_009498370
Biomphalaria pfeifferi	YP_009498357
Nannacara anomala	YP_009298315
Thorichthys aureus	YP_009298302
Geophagus brasiliensis	YP_009298289
Carios faini	YP_009480294
Argas walkerae	YP_009480281
Argas striatus	YP_009480268
Serinus canaria	YP_009480256
Schizothorax taliensis	YP_009479981
Shinkaicaris leurokolos	YP_009478701
Gammarus roeselii	YP_009478328
Amarsipus carlsbergi	YP_009477944
Occidentarius platypogon	YP_009477649
Gyge ovalis	YP_009477596
Macaca mulatta vestita	YP_009477581
Porites fontanesii	YP_009475740
Porzana paykullii	YP_009473737
Cirriformia cf. tentaculata HK-2018	YP_009473300
Toxodera hauseri	YP_009473039
Melanophryniscus moreirae	YP_009473001
Notopteryx soror	YP_009472974
Neolethaeus assamensis	YP_009472961
Dalsira scabrata	YP_009472948
Metatropis longirostris	YP_009472935
Macrosaldula sp. PJ-2017	YP_009472922
Nabicula flavomarginata	YP_009472909
Aphelocheirus jendeki	YP_009472896
Acanthaspis ruficeps	YP_009472883
Astrospartus mediterraneus	YP_003457190
Amphipholis squamata	YP_003457165
Bufoceratias thele	YP_003457072
Chaetoderma nitidulum	YP_003434429
Mylocheilus caurinus	YP_003412059
Dendronephthya gigantea	YP_003331249
Serrivomer sector	YP_003264358
Halyomorpha halys	YP_003208155
Hemiphaga novaeseelandiae	YP_003204762
Dermatophagoides farinae	YP_003162772
Trachypeplus jacobsoni	YP_009488380
Metasalis populi	YP_009488354
Leucoraja naevus	YP_009494716
Dipturus oxyrinchus	YP_009494703
Zearaja maugeana	YP_009494690
Bathyraja griseocauda	YP_009494677
Bathyraja albomaculata	YP_009494664
Bathyraja multispinis	YP_009494651
Dipturus innominatus	YP_009494638
Zearaja nasuta	YP_009494625
Cryptonome barbada	YP_009493551
Echinaster brasiliensis	YP_009493358
Gibbosula crassa	YP_009493344
Mylodon darwinii	YP_009493333
Salmo obtusirostris	YP_009493236
Lygus pratensis	YP_009492405
Triplophysa dalaica	YP_009492393
Triplophysa cuneicephala	YP_009492380
Dosinia troscheli	YP_009491828
Dosinia altior	YP_009491815
Epimeria cornigera	YP_009491802
Cardiodactylus muiri	YP_009491790
Taeniopteryx ugola	YP_009490587
Ara tricolor	YP_009490562
Sorex isodon	YP_009490549
Cricetus cricetus	YP_009490349
Reticunassa hiradoensis	YP_009490335
Phractocephalus hemioliopterus	YP_009490323
Leontopithecus chrysopygus	YP_009489714
Falcidens halanychi	YP_009489699
Falcidens acutargatus	YP_009489686
Sorex gracillimus	YP_009489467
Sinocyclocheilus oxycephalus	YP_009489454
Anomaloglossus blanci	YP_009489441
Anomaloglossus degranvillei	YP_009489428
Anomaloglossus dewynteri	YP_009489415
Anomaloglossus surinamensis	YP_009489402
Gorilla beringei	YP_009489389
Crassostrea belcheri	YP_009489291
Lagenodelphis hosei	YP_009489112
Liza carinata	YP_009489099
Gerres filamentosus	YP_009489086
Dendrothrips minowai	YP_009488479
Tingis cardui	YP_009488367
Dictyla platyoma	YP_009488341
Cysteochila chiniana	YP_009488328
Lytechinus variegatus	YP_009487500
Toromys rhipidurus	YP_009487399
Toromys albiventris	YP_009487386
Pattonomys semivillosus	YP_009487373
Pattonomys punctatus	YP_009487360
Makalata macrura	YP_009487347
Echimys saturnus	YP_009487334
Semisulcospira coreana	YP_009487058
Salpa fusiformis	YP_009487057
Salpa thompsoni	YP_009487045
Dentex dentex	YP_009486008
Suwallia teleckojensis	YP_009485996
Paroster microsturtensis	YP_009485896
Paroster mesosturtensis	YP_009485883
Paroster macrosturtensis	YP_009485870
Limbodessus palmulaoides	YP_009485857
Urostylis flavoannulata	YP_009485761
Reduvius gregoryi	YP_009485748
Canthesancus helluo	YP_009485735
Scipinia horrida	YP_009485722
Rhynocoris incertis	YP_009485709
Tessaratoma papillosa	YP_009485696
Carbula sinica	YP_009485683
Saldula burmanica	YP_009485670
Cyclopelta parva	YP_009485657
Velinus nodipes	YP_009485644
Tapeinus singularis	YP_009485631
Inara alboguttata	YP_009485618
Acanthaspis cincticrus	YP_009485605
Carcinochelis bannaensis	YP_009485592
Amblythyreus gestroi	YP_009485579
Pagellus erythrinus	YP_009485567
Dentex gibbosus	YP_009485554
Dinorhynchus dybowskyi	YP_009485339
Lampsilis powellii	YP_009485285
Prochilodus harttii	YP_009484932
Paramesotriton deloustali	YP_009484831
Spirobranchus giganteus	YP_009327453
Calyptogena magnifica	YP_009192654
Moschiola indica	YP_009495689
Bathyraja shuntovi	YP_009494846
Bathyraja richardsoni	YP_009494833
Bathyraja meridionalis	YP_009494820
Bathyraja maccaini	YP_009494807
Amblyraja georgiana	YP_009494794
Raja miraletus	YP_009494781
Raja clavata	YP_009494768
Raja polystigma	YP_009494755
Raja asterias	YP_009494742
Leucoraja circularis	YP_009494729
Prochilodus vimboides	YP_009484818
Apis dorsata	YP_009484706
Halichoeres hartzfeldii	YP_009484694
Cheilinus fasciatus	YP_009484681
Triplophysa sp. ZP-2016	YP_009484497
Pygoscelis papua	YP_009484472
Paratoxodera polyacantha	YP_009484275
Charybdis bimaculata	YP_009484173
Emberiza leucocephalos	YP_009483992
Pomacea bridgesi	YP_009483977
Tamias striatus	YP_009332090
Tamias dorsalis	YP_009332064
Tamias canipes	YP_009332051
Tamias rufus	YP_009332038
Tamias quadrivittatus	YP_009332025
Tamias umbrinus	YP_009332103
Tamias cinereicollis	YP_009332077
Toxarium undulatum	YP_009495477
Eunotia naegelii	YP_009495426
Cylindrotheca closterium	YP_009495385
Nitzschia alba	YP_009485516
Melosira undulata	YP_009485484
Halamphora coffeaeformis	YP_009485445
Camallanus cotti	YP_009442448
Cryptopygus terranovus	YP_009480510
Anarhichas minor	YP_009480485
Gasteruption parvicollarium	YP_009480368
Nassarius festivus	YP_009480371
Anarhichas denticulatus	YP_009480498
Nassarius fraterculus	YP_009480384
Bradypus tridactylus	YP_009480324
Ornithodoros savignyi	YP_009480307
Syngnathus schlegeli	YP_009480243
Streptopelia decaocto	YP_009479870
Psammomys obesus	YP_009479744
Pagellus acarne	YP_009479493
Salvelinus malma	YP_009479389
Cryptocercus meridianus	YP_009479239
Haemaphysalis longicornis	YP_009479055
Diaphanosoma dubium	YP_009478715
Urocissa caerulea	YP_009478690
Bagre panamensis	YP_009477662
Garrulax albogularis	YP_009477484
Eubalaena glacialis	YP_009476254
Porites harrisoni	YP_009475753
Alasmidonta heterodon	YP_009475572
Semilabeo obscurus	YP_009473835
Tetraclita rufotincta	YP_009473479
Choristoneura rosaceana	YP_009473467
Choristoneura murinana	YP_009473454
Choristoneura fumiferana	YP_009473441
Choristoneura biennis	YP_009473428
Choristoneura occidentalis	YP_009473415
Halichondria okadai	YP_009473323
Chelodina oblonga	YP_009473118
Chelodina pritchardi	YP_009473105
Chelodina parkeri	YP_009473092
Chelodina mccordi	YP_009473079
Chelodina expansa	YP_009473066
Oreolalax multipunctatus	YP_009473053
Phyllobates terribilis	YP_009473027
Hyloxalus subpunctatus	YP_009473014
Scaphiopus holbrookii	YP_009472988
Microdevario kubotai	YP_009472235
Montipora aequituberculata	YP_009472232
Papilio helenus	YP_009110122
Ricordea florida	YP_654303
Euphyllia ancora	YP_004581277
Nodularia douglasiae	YP_009458621
Nodularia douglasiae	YP_009115046
Tor tambra	YP_009447800
Tor douronensis	YP_009447813
Lateolabrax maculatus	YP_006460244
Clithon retropictum	YP_009471390
Marphysa tamurai	YP_009471361
Creobroter jiangxiensis	YP_009471336
Mycopsylla proxima	YP_009470623
Mycopsylla fici	YP_009470610
Centruroides vittatus	YP_009470512
Indothais lacera	YP_009470501
Mene maculata	YP_009470487
Mobula thurstoni	YP_009470474
Rhadinosa nigrocyanea	YP_009470460
Empoasca onukii	YP_009469867
Schizocephala bicornis	YP_009469758
Sceptuchus simplex	YP_009469745
Deroplatys desiccata	YP_009469693
Atergatis floridus	YP_009469679
Dermestes maculatus	YP_009469666
Sinocyclocheilus jii	YP_009469540
Tenebrio obscurus	YP_009469526
Clarias dussumieri	YP_009469407
Abrornis proregulus	YP_009469120
Charonia lampas	YP_009469105
Oreinus molesworthi	YP_009468968
Peregrinus maidis	YP_009468954
Changeondelphax velitchkovskyi	YP_009468941
Anemonia majano	YP_009468835
Anemonia viridis	YP_009468820
Sorex sinalis	YP_009468701
Monomia gladiator	YP_009468686
Lepidocolaptes angustirostris	YP_009467372
Sicalis olivascens	YP_009467359
Bombyx lemeepauli	YP_009467165
Rhinogobius rubromaculatus	YP_009467032
Exyrias puntang	YP_009467019
Brachygobius doriae	YP_009467006
Bathygobius coalitus	YP_009466993
Eleotris fusca	YP_009466980
Glyphonycteris daviesi	YP_009466967
Diphylla ecaudata	YP_009466954
Noctilio leporinus	YP_009466941
Macrotus californicus	YP_009466928
Lonchorhina aurita	YP_009466915
Hsunycteris thomasi	YP_009466902
Diaemus youngi	YP_009466889
Chrotopterus auritus	YP_009466876
Philaenus spumarius	YP_026118
Triphoturus mexicanus	YP_009471904
Stomias atriventer	YP_009471891
Haemaphysalis japonica	YP_009471790
Altiverruca navicula	YP_009471695
Ochotona erythrotis	YP_009469081
Penion sulcatus	YP_009469069
Peromyscus leucopus	YP_009468929
Atergatis integerrimus	YP_009468673
Candidia barbata	YP_009467398
Artyfechinostomum sufrartyfex	YP_009467185
Sardinella gibbosa	YP_009466863
Microceramus pontificus	YP_009444526
Chromodoris annae	YP_009445815
Lonchura grandis	YP_009444993
Sterna hirundo	YP_009443241
Myotis ruber	YP_009442614
Calophya californica	YP_009442185
Xylosandrus morigerus	YP_009441865
Pelecotoma fennica	YP_009441787
Dryops ernesti	YP_009441761
Vincenzellus ruficollis	YP_009441748
Dendronephthya putteri	YP_009433679
Donax vittatus	YP_009431974
Donax variegatus	YP_009431961
Donax trunculus	YP_009431948
Donax semiestriatus	YP_009431935
Oscarella pearsei	YP_009431927
Nemoura nankinensis	YP_009379707
Corvus cryptoleucus	YP_009373295
Phryganogryllacris xiai	YP_009349923
Nippostrongylus brasiliensis	YP_009347350
Echinoderes svetlanae	YP_009318506
Omphalius nigerrimus	YP_009318363
Chlorostoma argyrostomum	YP_009318324
Ducetia japonica	YP_009312765
Contracaecum ogmorhini sensu lato Pacific Canada	YP_009312594
Contracaecum ogmorhini sensu lato South Africa	YP_009312582
Contracaecum ogmorhini sensu lato Australia	YP_009312570
Pseudoterranova krabbei	YP_009312558
Pseudoterranova decipiens sensu lato Germany	YP_009312546
Pseudoterranova cattani	YP_009312534
Pseudoterranova bulbosa	YP_009312522
Ellopostoma mystax	YP_009312505
Tuberoschistura baenzigeri	YP_009312492
Sahyadria denisonii	YP_009310100
Cernuella virgata	YP_009270608
Leiodon cutcutia	YP_004347890
Marilyna darwinii	YP_004347641
Acanthosaura armata	YP_003667910
